county,year,selection,select,homeless_pop,public_school_enrollment,perc_homeless,homeless_rate_1000,changerate,students_ELL,students_ELL_perc,population,hispanic_pop,hispanic_pop_perc,black_pop,black_pop_perc,unemployment,under18pop,under18pop_perc,under18wht,under18wht_perc,under18bk,under18bk_perc,under18hisp,under18hisp_perc,under18oth2,under18oth2_perc,poverty_perc,poverty_under18_perc,poverty_517_perc,median_income,change_median_income,level3higherread_perc,level3highermath_perc,meetingwritingstandars_perc,level3higherscience_perc,point_earned,stamp_children_rate,perc_foodstamp,stamp_children_change,change_stamp_household,grad_perc,econ_dis_grad_perc,flor_medianincome,flor_18hisp,flor_unemp,flor_perc_hom,flor_18afam,flor_foodstamp
Alachua,2013,,ok,809,28149,2.9,28.7,45.1,529,1.9,248002,21454,8.7,52783,21.3,5.7,44514,17.9,27739,62.3,14160,31.8,4424,9.9,2849,6.4,13.3,23.1,20.9,39614,-4.1,60,60,55,61,489,325,32,6.5,7,72.2,61.8,,,,,,
Alachua,2012,,ok,551,27826,2,19.8,-13.9,502,1.8,246770,21133,8.6,52502,21.3,6.6,44542,18.1,27544,61.8,14187,31.9,4210,9.5,2783,6.2,9.6,16.2,14.1,41297,3.7,59,60,56,61,485,305,30,2.6,4.3,72.6,60,,,,,,
Alachua,2011,,ok,632,27480,2.3,23,6.5,452,1.6,247337,20966,8.5,52536,21.2,7.6,44285,17.9,25348,57.2,13464,30.4,4183,9.4,5730,12.9,21.2,27.5,24.8,39825,-2,59,59,82,55,512,299,30,9.1,14.9,68.7,58.2,,,,,,
Alachua,2010,,ok,594,27518,2.2,21.6,34.5,485,1.8,247336,20752,8.4,52546,21.2,8,48560,19.6,25058,51.6,13671,28.2,4009,8.3,5556,11.4,11.2,15.1,13.6,40656,5.3,69,74,86,54,532,250,25,12.2,32.5,63.4,49.2,,,,,,
Alachua,2009,,ok,446,27783,1.6,16.1,-37.2,438,1.6,256232,20022,7.8,51966,20.3,7.1,47866,18.7,30361,63.4,14912,31.2,3999,8.4,3287,6.9,10.1,13.9,12.6,38597,-10.2,69,74,88,53,529,226,23,19.5,29.4,,,,,,,,
Alachua,2008,,ok,707,27665,2.6,25.6,17.7,459,1.7,252388,19230,7.6,51216,20.3,4.4,46903,18.6,30245,64.5,14453,30.8,3954,8.4,3168,6.8,15.9,21.7,20.3,42980,12.9,69,72,90,51,532,193,19,4.7,8.8,,,,,,,,
Alachua,2007,,ok,616,28373,2.2,21.7,13.7,453,1.6,247561,18378,7.4,50308,20.3,3,46277,18.7,29578,63.9,14229,30.7,4013,8.7,3096,6.7,13.7,20.2,18.5,38075,2.8,69,72,87,51,536,187,19,-3.8,-2.5,,,,,,,,
Alachua,2006,,ok,554,29005,1.9,19.1,11.4,450,1.6,243779,17440,7.2,49140,20.2,2.7,45836,18.8,29548,64.5,13758,30,3638,7.9,2971,6.5,14.5,19.6,18.4,37046,4.4,67,70,90,50,528,196,20,1.9,7.3,,,,,,,,
Alachua,2005,,ok,499,29109,1.7,17.1,,453,1.6,240764,16429,6.8,47744,19.8,2.9,45303,18.8,29282,64.6,13630,30.1,3385,7.5,2924,6.5,21.8,22.8,19.6,35474,,66,69,88,0,411,195,19,,,,,,,,,,
Baker,2013,,ok,112,4985,2.2,22.5,-57.3,10,0.2,26881,542,2,3848,14.3,7.3,6825,25.4,5814,85.2,861,12.6,164,2.4,62,0.9,17.7,25.4,25.2,46505,1.7,58,61,54,47,463,352,35,2.8,2.2,75.2,60,,,,,,
Baker,2012,,ok,262,4982,5.3,52.6,-12.6,,0,26938,537,2,3828,14.2,8.6,6913,25.7,5879,85,883,12.8,154,2.2,63,0.9,18.3,26.6,24.7,45721,7.4,60,62,48,50,451,338,34,3.6,5,72.1,57.5,,,,,,
Baker,2011,,ok,304,5050,6,60.2,20.7,7,0.1,26927,523,1.9,3793,14.1,10.2,7047,26.2,5800,82.3,842,11.9,162,2.3,271,3.8,9.6,15.5,13.9,42564,-7.1,58,61,74,46,492,320,32,3.3,9.6,72.8,59.8,,,,,,
Baker,2010,,ok,249,4991,5,49.9,35,12,0.2,27115,520,1.9,3787,14,11.3,6725,24.8,5916,88,846,12.6,164,2.4,285,4.2,15.9,23.6,21.9,45802,-1.5,68,75,77,43,499,325,32,10.9,19,65,41.7,,,,,,
Baker,2009,,ok,191,5169,3.7,37,22.3,14,0.3,25899,517,2,3777,14.6,10.1,6735,26,5729,85.1,927,13.8,144,2.1,69,1,12.1,16.3,14.8,46513,-4,66,75,82,44,514,292,29,29,31.2,,,,,,,,
Baker,2008,,ok,153,5065,3,30.2,108,10,0.2,25890,508,2,3741,14.4,5.8,6666,25.7,5794,86.9,875,13.1,138,2.1,66,1,24,33.8,32,48443,5.8,64,74,80,42,509,229,23,29,32.5,,,,,,,,
Baker,2007,,ok,72,4958,1.5,14.5,57.1,9,0.2,25623,498,1.9,3674,14.3,3.7,6542,25.5,5754,88,847,12.9,146,2.2,65,1,21.4,31.3,31.5,45783,2.1,62,71,81,37,501,181,18,6.1,5.3,,,,,,,,
Baker,2006,,ok,46,4975,0.9,9.2,13.3,8,0.2,25004,485,1.9,3588,14.3,2.8,6291,25.2,5655,89.9,827,13.1,136,2.2,60,1,19,25.9,23.9,44860,4.3,59,65,75,40,493,177,18,-11.4,-3.8,,,,,,,,
Baker,2005,,ok,40,4903,0.8,8.2,,8,0.2,23953,472,2,3504,14.6,3.2,6211,25.9,5409,87.1,827,13.3,114,1.8,55,0.9,9.6,15.8,14,43011,,54,61,76,0,363,203,20,,,,,,,,,,
Bay,2013,,ok,1184,26865,4.4,44.1,-27.8,498,1.9,169866,8948,5.3,19764,11.6,7.3,36940,21.7,29783,80.6,5950,16.1,3095,8.4,1297,3.5,21.9,32.7,30.3,45249,0,60,57,45,57,472,347,35,2.4,1.4,70.8,56.3,,,,,,
Bay,2012,,ok,1626,26634,6.1,61,8.9,474,1.8,169392,8660,5.1,19648,11.6,8.6,37034,21.9,29748,80.3,5930,16,2825,7.6,1262,3.4,13,17.9,16.6,45259,2.4,59,57,47,54,470,338,34,6,6.2,73,60.8,,,,,,
