FIPStxt,state,county,year,homeless_pop,perc_homeless,homeless_rate_1000
12001,FL,Alachua,2013,809,2.9,28.7
12003,FL,Baker,2013,112,2.2,22.5
12005,FL,Bay,2013,1184,4.4,44.1
12007,FL,Bradford,2013,194,6,59.8
12009,FL,Brevard,2013,1690,2.4,23.7
12011,FL,Broward,2013,2323,0.9,8.8
12013,FL,Calhoun,2013,60,2.6,26.3
12015,FL,Charlotte,2013,519,3.2,31.9
12017,FL,Citrus,2013,312,2.1,20.7
12019,FL,Clay,2013,1110,3.1,31.2
12021,FL,Collier,2013,849,1.9,19.1
12023,FL,Columbia,2013,549,5.4,54.2
12027,FL,DeSoto,2013,402,8.6,85.6
12029,FL,Dixie,2013,28,1.3,13.4
12031,FL,Duval,2013,2111,1.7,16.5
12033,FL,Escambia,2013,2054,5,50.4
12035,FL,Flagler,2013,522,4.1,41
12037,FL,Franklin,2013,279,21.7,217.5
12039,FL,Gadsden,2013,699,11.6,116.3
12041,FL,Gilchrist,2013,14,0.5,5.4
12043,FL,Glades,2013,24,1.6,15.7
12045,FL,Gulf,2013,20,1.1,10.7
12047,FL,Hamilton,2013,234,13.9,138.8
12049,FL,Hardee,2013,125,2.4,24.3
12051,FL,Hendry,2013,450,6.5,65.2
12053,FL,Hernando,2013,443,2,20.1
12055,FL,Highlands,2013,461,3.8,37.8
12057,FL,Hillsborough,2013,3233,1.6,15.9
12059,FL,Holmes,2013,102,3.1,30.7
12061,FL,Indian River,2013,434,2.4,24
12063,FL,Jackson,2013,113,1.6,16.5
12065,FL,Jefferson,2013,11,1.1,11.4
12067,FL,Lafayette,2013,207,16.8,167.6
12069,FL,Lake,2013,3229,7.7,77.2
12071,FL,Lee,2013,1313,1.5,15
12073,FL,Leon,2013,702,2.1,20.8
12075,FL,Levy,2013,157,2.9,28.5
12077,FL,Liberty,2013,52,3.6,36.3
12079,FL,Madison,2013,534,21.1,211.3
12081,FL,Manatee,2013,1854,4,39.8
12083,FL,Marion,2013,2373,5.6,56.4
12085,FL,Martin,2013,157,0.8,8.4
12086,FL,Miami-Dade,2013,3252,0.9,9.1
12087,FL,Monroe,2013,382,4.5,45
12089,FL,Nassau,2013,428,3.8,38.4
12091,FL,Okaloosa,2013,533,1.8,17.6
12093,FL,Okeechobee,2013,573,9,89.6
12095,FL,Orange,2013,6736,3.6,36
12097,FL,Osceola,2013,4941,8.5,85
12099,FL,Palm Beach,2013,2991,1.6,16.4
12101,FL,Pasco,2013,2071,3,30.4
12103,FL,Pinellas,2013,3038,2.9,29.4
12105,FL,Polk,2013,3767,3.8,38.5
12107,FL,Putnam,2013,808,7.3,72.7
12113,FL,Santa Rosa,2013,1776,6.9,68.6
12115,FL,Sarasota,2013,924,2.2,22.3
12117,FL,Seminole,2013,2034,3.1,31.4
12109,FL,St Johns,2013,803,2.4,23.9
12111,FL,St Lucie,2013,543,1.4,13.8
12119,FL,Sumter,2013,174,2.1,21
12121,FL,Suwannee,2013,298,5,49.7
12123,FL,Taylor,2013,123,4.1,40.9
12125,FL,Union,2013,130,5.5,55
12127,FL,Volusia,2013,2261,3.7,36.9
12129,FL,Wakulla,2013,56,1.1,11
12131,FL,Walton,2013,313,3.9,38.9
12133,FL,Washington,2013,138,4.2,41.7
